CMDLINE /home/victorvikram/anaconda3/envs/speech/bin/python3.9 get_triplets.py
MEM 4.292969 1683229380.8246
MEM 14.941406 1683229380.9250
MEM 21.429688 1683229381.0254
MEM 26.781250 1683229381.1258
MEM 31.796875 1683229381.2262
MEM 36.632812 1683229381.3265
MEM 40.941406 1683229381.4270
MEM 52.476562 1683229381.5274
MEM 79.167969 1683229381.6278
MEM 84.207031 1683229381.7282
MEM 87.398438 1683229381.8285
MEM 91.628906 1683229381.9289
MEM 93.175781 1683229382.0292
MEM 94.203125 1683229382.1296
MEM 103.906250 1683229382.2300
MEM 112.394531 1683229382.3304
MEM 118.390625 1683229382.4308
MEM 128.082031 1683229382.5312
MEM 133.316406 1683229382.6316
MEM 143.699219 1683229382.7320
MEM 150.285156 1683229382.8324
MEM 155.796875 1683229382.9328
MEM 160.929688 1683229383.0332
MEM 167.531250 1683229383.1336
MEM 170.109375 1683229383.2340
MEM 170.625000 1683229383.3343
MEM 175.292969 1683229383.4347
MEM 178.617188 1683229383.5350
MEM 183.468750 1683229383.6355
MEM 187.171875 1683229383.7359
MEM 223.222656 1683229383.8364
MEM 226.191406 1683229383.9367
MEM 232.546875 1683229384.0371
MEM 249.968750 1683229384.1375
MEM 315.144531 1683229384.2380
MEM 402.375000 1683229384.3385
MEM 416.542969 1683229384.4391
MEM 478.734375 1683229384.5396
MEM 563.296875 1683229384.6401
MEM 668.753906 1683229384.7406
MEM 750.996094 1683229384.8411
MEM 832.464844 1683229384.9416
MEM 923.566406 1683229385.0422
MEM 1025.917969 1683229385.1427
MEM 1025.917969 1683229385.2432
MEM 1025.917969 1683229385.3436
MEM 1077.738281 1683229385.4440
MEM 1163.589844 1683229385.5445
MEM 1249.441406 1683229385.6450
MEM 1335.292969 1683229385.7455
MEM 1413.410156 1683229385.8460
MEM 1452.855469 1683229385.9472
MEM 1452.855469 1683229386.0477
MEM 1452.914062 1683229386.1482
MEM 1452.914062 1683229386.2487
MEM 1476.339844 1683229386.3493
MEM 1562.984375 1683229386.4497
MEM 1747.035156 1683229386.5502
MEM 1832.546875 1683229386.6508
MEM 1919.121094 1683229386.7513
MEM 1998.757812 1683229386.8518
MEM 2081.242188 1683229386.9523
MEM 2083.210938 1683229387.0528
MEM 2083.210938 1683229387.1534
MEM 2083.210938 1683229387.2539
MEM 2083.210938 1683229387.3547
MEM 2083.210938 1683229387.4552
MEM 2095.078125 1683229387.5557
MEM 2182.710938 1683229387.6562
MEM 2269.695312 1683229387.7567
MEM 2354.242188 1683229387.8572
MEM 2435.175781 1683229387.9577
MEM 2523.589844 1683229388.0582
MEM 2609.425781 1683229388.1588
MEM 2697.988281 1683229388.2592
MEM 2753.886719 1683229388.3597
MEM 2753.886719 1683229388.4602
MEM 2753.886719 1683229388.5608
MEM 2753.886719 1683229388.6613
MEM 2753.886719 1683229388.7618
MEM 2753.886719 1683229388.8622
MEM 2753.886719 1683229388.9625
MEM 2753.886719 1683229389.0628
MEM 2753.886719 1683229389.1631
MEM 2753.886719 1683229389.2634
MEM 2753.886719 1683229389.3637
MEM 2753.886719 1683229389.4640
MEM 2795.515625 1683229389.5643
MEM 2934.921875 1683229389.6646
MEM 3169.273438 1683229389.7649
MEM 3252.031250 1683229389.8652
MEM 3334.273438 1683229389.9655
MEM 3412.390625 1683229390.0658
MEM 3491.792969 1683229390.1661
